book_id,item_idx
1,0
4,1
5,2
7,3
8,4
9,5
10,6
13,7
14,8
15,9
16,10
17,11
18,12
19,13
22,14
24,15
25,16
26,17
29,18
30,19
31,20
36,21
37,22
38,23
39,24
41,25
42,26
45,27
49,28
52,29
53,30
55,31
57,32
58,33
60,34
61,35
64,36
65,37
69,38
71,39
74,40
77,41
84,42
88,43
94,44
97,45
98,46
99,47
106,48
107,49
109,50
110,51
111,52
113,53
115,54
117,55
118,56
119,57
120,58
121,59
122,60
123,61
124,62
125,63
127,64
129,65
132,66
135,67
138,68
143,69
148,70
149,71
150,72
151,73
153,74
155,75
156,76
157,77
163,78
166,79
169,80
170,81
176,82
178,83
179,84
180,85
185,86
191,87
192,88
193,89
194,90
195,91
196,92
197,93
198,94
199,95
200,96
202,97
203,98
204,99
205,100
210,101
211,102
212,103
213,104
214,105
215,106
216,107
218,108
220,109
223,110
224,111
226,112
232,113
233,114
234,115
235,116
241,117
274,118
275,119
283,120
286,121
287,122
289,123
295,124
299,125
301,126
304,127
308,128
309,129
311,130
312,131
315,132
316,133
324,134
325,135
327,136
329,137
330,138
332,139
335,140
344,141
345,142
354,143
355,144
357,145
358,146
363,147
364,148
382,149
389,150
390,151
391,152
393,153
394,154
396,155
399,156
402,157
404,158
406,159
407,160
408,161
409,162
411,163
412,164
413,165
414,166
415,167
416,168
423,169
424,170
425,171
426,172
427,173
429,174
430,175
441,176
445,177
446,178
449,179
450,180
453,181
455,182
456,183
457,184
458,185
461,186
466,187
468,188
471,189
476,190
477,191
478,192
479,193
481,194
483,195
484,196
486,197
487,198
489,199
490,200
491,201
494,202
495,203
496,204
498,205
501,206
502,207
503,208
510,209
511,210
519,211
520,212
521,213
525,214
526,215
528,216
529,217
530,218
537,219
540,220
541,221
542,222
551,223
555,224
559,225
560,226
566,227
568,228
570,229
572,230
575,231
576,232
577,233
578,234
579,235
583,236
584,237
586,238
587,239
591,240
593,241
594,242
600,243
601,244
602,245
603,246
604,247
605,248
607,249
611,250
612,251
613,252
614,253
615,254
616,255
617,256
619,257
620,258
628,259
632,260
637,261
638,262
639,263
641,264
642,265
643,266
644,267
645,268
647,269
648,270
649,271
650,272
652,273
657,274
659,275
665,276
666,277
683,278
684,279
686,280
687,281
688,282
695,283
696,284
700,285
701,286
704,287
706,288
707,289
710,290
711,291
712,292
722,293
723,294
724,295
727,296
728,297
742,298
744,299
745,300
746,301
747,302
748,303
749,304
751,305
752,306
753,307
754,308
758,309
759,310
760,311
762,312
764,313
766,314
768,315
777,316
779,317
780,318
781,319
788,320
789,321
790,322
792,323
802,324
803,325
804,326
806,327
807,328
808,329
811,330
812,331
814,332
815,333
818,334
819,335
820,336
822,337
823,338
826,339
828,340
829,341
830,342
831,343
832,344
833,345
834,346
836,347
838,348
841,349
842,350
844,351
845,352
852,353
854,354
855,355
856,356
857,357
862,358
867,359
868,360
871,361
873,362
877,363
878,364
884,365
885,366
886,367
887,368
888,369
889,370
890,371
891,372
899,373
900,374
901,375
902,376
903,377
910,378
911,379
912,380
913,381
916,382
919,383
926,384
930,385
931,386
935,387
936,388
937,389
938,390
941,391
945,392
946,393
958,394
961,395
964,396
967,397
971,398
972,399
976,400
978,401
979,402
985,403
990,404
991,405
992,406
993,407
996,408
998,409
1003,410
1012,411
1013,412
1016,413
1022,414
1023,415
1024,416
1025,417
1027,418
1029,419
1032,420
1035,421
1036,422
1038,423
1039,424
1040,425
1044,426
1045,427
1046,428
1047,429
1050,430
1051,431
1065,432
1067,433
1068,434
1069,435
1071,436
1072,437
1073,438
1076,439
1086,440
1087,441
1088,442
1089,443
1096,444
1097,445
1101,446
1109,447
1110,448
1111,449
1112,450
1113,451
1114,452
1116,453
1117,454
1119,455
1120,456
1121,457
1123,458
1125,459
1126,460
1131,461
1132,462
1137,463
1138,464
1139,465
1140,466
1141,467
1142,468
1143,469
1144,470
1149,471
1164,472
1165,473
1173,474
1187,475
1193,476
1194,477
1195,478
1196,479
1197,480
1198,481
1199,482
1200,483
1201,484
1203,485
1204,486
1205,487
1206,488
1208,489
1209,490
1210,491
1211,492
1212,493
1213,494
1214,495
1227,496
1233,497
1234,498
1237,499
1238,500
1239,501
1241,502
1247,503
1253,504
1263,505
1265,506
1266,507
1267,508
1268,509
1269,510
1270,511
1271,512
1272,513
1273,514
1274,515
1275,516
1276,517
1277,518
1278,519
1280,520
1281,521
1282,522
1283,523
1285,524
1286,525
1287,526
1288,527
1290,528
1291,529
1292,530
1303,531
1315,532
1316,533
1318,534
1320,535
1321,536
1323,537
1324,538
1325,539
1328,540
1329,541
1331,542
1354,543
1355,544
1356,545
1357,546
1358,547
1359,548
1360,549
1362,550
1363,551
1364,552
1367,553
1371,554
1377,555
1378,556
1379,557
1381,558
1383,559
1389,560
1390,561
1391,562
1395,563
1396,564
1397,565
1398,566
1399,567
1401,568
1402,569
1403,570
1404,571
1405,572
1406,573
1408,574
1409,575
1410,576
1411,577
1412,578
1413,579
1414,580
1415,581
1416,582
1421,583
1424,584
1425,585
1426,586
1427,587
1428,588
1431,589
1433,590
1439,591
1440,592
1443,593
1444,594
1445,595
1450,596
1452,597
1454,598
1455,599
1460,600
1461,601
1463,602
1464,603
1465,604
1467,605
1471,606
1472,607
1473,608
1474,609
1475,610
1476,611
1487,612
1488,613
1490,614
1501,615
1502,616
1503,617
1510,618
1511,619
1512,620
1513,621
1515,622
1516,623
1517,624
1520,625
1522,626
1523,627
1524,628
1525,629
1526,630
1527,631
1528,632
1529,633
1530,634
1531,635
1533,636
1534,637
1535,638
1536,639
1537,640
1547,641
1548,642
1550,643
1552,644
1553,645
1558,646
1559,647
1560,648
1565,649
1570,650
1573,651
1574,652
1575,653
1576,654
1577,655
